ID,Book,Place Identified,Sentence,Place Check,Place Final,Coordinates Final
7,MVLL Cinco esquinas - FINAL,Arequipa,"No habría problema, Quique había partido a Arequipa por el directorio de mañana temprano en la cervecería, eran dueñas del departamento del Golf.",Valid,Arequipa,"{-16.39, -71.53}"
8,MVLL Cinco esquinas - FINAL,Arequipa,"Y todavía a eso del mediodía, cuando llegó Quique de Arequipa y le trajo las consabidas pastitas de La Ibérica y la bolsa de rocotos, mientras lo besaba y le preguntaba cómo le había ido en el directorio de la cervecería —«Bien, bien, gringuita, hemos decidido dejar de mandar cervezas a Ayacucho, no sale a cuenta, los cupos que nos piden los terroristas y los seudoterroristas nos están arruinando»—, ella seguía preguntándose: «¿Y por qué Chabela no me hizo la menor alusión y se fue como si no hubiera pasado nada?",Valid,Arequipa,"{-16.39, -71.53}"
39,MVLL Cinco esquinas - FINAL,avenida Abancay,"No era una larguísima caminata desde allí hasta
los Barrios Altos; subía por toda la avenida Abancay y, contorneando la Plaza de la
Inquisición y el Congreso de la República, remontaba el jirón Junín hasta cerca de
Cinco Esquinas.",Valid,Avenida Abancay,"{-12.050630855211942, -77.02824000444255}"
40,MVLL Cinco esquinas - FINAL,avenida Abancay,"Juan Peineta comenzó a remontar la avenida Abancay; a la altura del Congreso
voltearía hacia el sinuoso y largo jirón Junín, al cabo del cual llegaría a Cinco
Esquinas, donde vivía Willy: por lo menos ese recorrido lo recordaba muy bien.",Valid,Avenida Abancay,"{-12.050630855211942, -77.02824000444255}"
41,MVLL Cinco esquinas - FINAL,avenida Argentina,"En esa época los carritos de los emolienteros estaban por doquier en el centro de la ciudad, sobre todo a la entrada de las fábricas, en los alrededores de la Plaza Dos de Mayo y a lo largo de la avenida Argentina.",Valid,Avenida Argentina,"{-12.047074107402773, -77.08430976026237}"
42,MVLL Cinco esquinas - FINAL,avenida Arica,"Ella lo había acompañado mil veces de niña y
adolescente en sus recorridos jalando el carrito con los grandes tarros de emoliente
preparados por él mismo y Cojinova en la pequeña quinta donde vivían entonces, en
Breña, al final de la avenida Arica, allí donde terminaba la parte antigua de la ciudad
y empezaban los descampados que se alargaban hasta La Perla, Bellavista y el Callao.",Valid,Avenida Arica,"{-12.056435374136496, -77.05413889095061}"
43,MVLL Cinco esquinas - FINAL,avenida España,"Éste, pese a ser ya cerca de las siete de la noche, los
recibió en el acto en su despacho, en la avenida España.",Valid,Avenida España,"{-12.05786742202508, -77.04076508909822}"
44,MVLL Cinco esquinas - FINAL,avenida Grau,"Una ausencia
La Retaquita se preparaba siempre el desayuno frugal de cada día —un café con
leche y una galleta de maicena—, pero hoy, no sabía por qué, tuvo el impulso de
tomarlo en un cafetín de Cinco Esquinas situado frente al paradero del ómnibus que,
cada mañana, luego de media hora o cuarenta y cinco minutos de zangoloteo y
apretones, la llevaba por la larguísima avenida Grau, el Zanjón y la Panamericana
hasta Surquillo, en las vecindades de Destapes.",Valid,Avenida Grau,"{-12.063777134062072, -77.1439741756062}"
45,MVLL Cinco esquinas - FINAL,avenida Grau,"Sólo cuando estuvo sentada en el asiento trasero del auto y éste arrancó rumbo a
la avenida Grau, la Retaquita tuvo ánimos para preguntar algo que sospechaba:",Valid,Avenida Grau,"{-12.063777134062072, -77.1439741756062}"
46,MVLL Cinco esquinas - FINAL,avenida Grau,"Hicieron
todo el recorrido por calles a oscuras y por fin ella reconoció la avenida Grau, a la
altura del Hospital Dos de Mayo.",Valid,Avenida Grau,"{-12.063777134062072, -77.1439741756062}"
